stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
2227, 22.0, 12.770853891228999, 0.06401430521919298, 199.5, 264.5, 0.43609022556390975
2420, 3.0, 2.7480706233606047, 0.07417194664940904, 37.05, 34.55, 0.01349527665317139
4763, 5.0, 28.695722801223983, 0.20570410610196405, 139.5, 159.5, 0.17921146953405018
2493, 2.3, 2.4653061022996434, 0.0901391627897493, 27.35, 26.7, 0.06032906764168181
2542, 5.0, 5.00429822063046, 0.10658782152567539, 46.95, 45.8, 0.08200212992545249
2915, 0.0, 3.948164804035338, 0.06772152322530597, 58.3, 51.5, -0.1166380789022298
5534, 6.0, 7.2379618029451445, 0.11067219882179119, 65.4, 87.8, 0.4342507645259937
6189, 2.3, 2.1398159436891167, 0.0692497069155054, 30.9, 29.0, 0.012944983818770267
6202, 3.5, 3.501132838416132, 0.0693293631369531, 50.5, 78.4, 0.6217821782178219
6277, 5.8, 5.617694946375746, 0.06943998697621441, 80.9, 88.0, 0.15945611866501846
6281, 4.3, 4.278406490518009, 0.06758936003977897, 63.3, 63.3, 0.0679304897314376
9943, 4.0, 3.4695708495847364, 0.06737030775892693, 51.5, 54.1, 0.12815533980582527
3088, 3.65, 3.746716364203762, 0.06339621597637499, 59.1, 52.6, -0.048223350253807105
3211, 3.0, 3.0364872572443273, 0.08054342857412009, 37.7, 46.3, 0.30769230769230754
5356, 4.0, 3.780866066584551, 0.08255166084245745, 45.8, 39.95, -0.04039301310043656
5474, 3.3, 6.3168997627844545, 0.08536351030789803, 74.0, 49.85, -0.2817567567567567
6121, 6.0, 6.872947404548763, 0.07159320213071628, 96.0, 186.5, 1.0052083333333333
6210, 2.0, 2.4645450796326567, 0.07061733752529102, 34.9, 41.75, 0.2535816618911175
6224, 4.55, 4.1698189030530335, 0.07067489666191583, 59.0, 56.0, 0.026271186440677965
6263, 3.9, 3.644676632580524, 0.07553733953534765, 48.25, 62.7, 0.3803108808290156
8091, 3.6312330000000004, 3.5005171057412046, 0.0631862293455091, 55.4, 127.0, 1.3579644945848375
3130, 10.8, 9.200032905225722, 0.0647889641213079, 142.0, 178.0, 0.3295774647887324
3234, 1.0, 4.04919127695587, 0.06771222871163662, 59.8, 40.0, -0.31438127090301
3556, 3.7, 3.4588402633797166, 0.0687642199479069, 50.3, 52.7, 0.1212723658051691
6803, 11.37, 11.14016191711978, 0.06311706468623104, 176.5, 168.5, 0.01909348441926345
8422, 11.5, 11.158817265206112, 0.0678347554115873, 164.5, 171.5, 0.11246200607902736
5536, 8.0, 7.071467611027716, 0.07490961452359868, 94.4, 207.5, 1.2828389830508473
8426, 4.0, 3.6709384303156005, 0.06698792756050366, 54.8, 39.55, -0.20529197080291972
8416, 6.0, 5.7684649221717965, 0.06304333248275187, 91.5, 109.0, 0.2568306010928962
3684, 2.5, 2.555427300252982, 0.08010743887940383, 31.9, 42.65, 0.4153605015673981
8429, 0.7, 2.8913672612205854, 0.07825080544575332, 36.95, 23.6, -0.34235453315290937
8464, 10.0, 57.42482547419184, 0.17244692334592143, 333.0, 300.0, -0.06906906906906907
6422, 4.35, 6.765879242553589, 0.09332247231108398, 72.5, 66.8, -0.018620689655172457
6451, 5.4, 14.916215895168037, 0.14481763005017512, 103.0, 151.5, 0.5233009708737864
6432, 1.0, 16.607569952171385, 0.6512772530263288, 25.5, 18.65, -0.2294117647058824
6435, 3.0, 2.8721157717045194, 0.07189276024291663, 39.95, 111.5, 1.8660826032540674
6512, 2.27826168, 3.071593293881045, 0.09844850300900786, 31.2, 24.35, -0.1465300743589743
