stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1232, 5.0, 3.62, 0.05062937062937063, 71.5, 76.0, 0.13286713286713286
1442, 1.0, 2.3, 0.09543568464730288, 24.1, 17.45, -0.23443983402489635
1521, 5.0, 3.9, 0.05492957746478873, 71.0, 89.9, 0.33661971830985926
1535, 3.0, 3.739751166, 0.05380936929496403, 69.5, 59.3, -0.10359712230215831
1733, 2.25, 3.8980000000000006, 0.06674657534246577, 58.4, 46.75, -0.16095890410958902
1808, 5.0, 2.706468, 0.09051732441471573, 29.9, 25.8, 0.03010033444816061
2103, 1.06, 2.798, 0.06942928039702234, 40.3, 24.2, -0.3732009925558312
2404, 4.0, 2.7344999999999997, 0.08694753577106518, 31.45, 43.95, 0.5246422893481718
2420, 2.5, 2.4200000000000004, 0.056740914419695206, 42.65, 43.7, 0.08323563892145379
2450, 3.0, 3.5919455640000004, 0.06854857946564887, 52.4, 40.1, -0.1774809160305343
2458, 2.0, 2.54534102, 0.0509068204, 50.0, 46.5, -0.03
2498, 0.0, 15.876, 0.09860869565217391, 161.0, 80.2, -0.5018633540372671
2542, 6.0, 3.6193820000000003, 0.05442679699248121, 66.5, 38.05, -0.33759398496240606
2545, 1.2, 4.0, 0.08264462809917356, 48.4, 24.4, -0.4710743801652893
2547, 0.0, 1.28072599, 0.07215357690140846, 17.75, 11.7, -0.34084507042253526
2548, 5.5, 5.457544918000001, 0.08946794947540986, 61.0, 59.2, 0.06065573770491808
2904, 2.0, 2.35, 0.08623853211009175, 27.25, 25.9, 0.02385321100917426
3030, 4.0, 3.2600000000000002, 0.06330097087378642, 51.5, 49.0, 0.02912621359223301
3356, 4.0, 6.256208958, 0.052573184521008405, 119.0, 72.6, -0.35630252100840343
5434, 3.9, 3.6, 0.0627177700348432, 57.4, 54.5, 0.01742160278745647
5471, 2.2, 3.3600000000000003, 0.07164179104477612, 46.9, 36.3, -0.17910447761194034
5534, 3.0, 6.44, 0.09387755102040818, 68.6, 47.9, -0.2580174927113702
6128, 3.0, 2.4, 0.06876790830945559, 34.9, 34.0, 0.060171919770773685
6189, 3.0, 2.5200000000000005, 0.06904109589041098, 36.5, 30.5, -0.0821917808219178
6277, 5.2, 4.32, 0.05112426035502959, 84.5, 71.3, -0.09467455621301779
6281, 3.7, 3.9560000000000004, 0.06380645161290323, 62.0, 57.1, -0.019354838709677392
9940, 0.7, 2.02, 0.05519125683060109, 36.6, 27.45, -0.23087431693989077
9943, 4.0, 2.7, 0.06835443037974684, 39.5, 53.5, 0.45569620253164556
9945, 0.0, 2.821999998, 0.055992063452380954, 50.4, 43.05, -0.14583333333333337
3211, 3.5, 5.7975288, 0.07823925506072875, 74.1, 48.5, -0.29824561403508765
3213, 3.1, 3.1399999999999997, 0.07319347319347319, 42.9, 43.0, 0.07459207459207463
3265, 0.25, 2.2320719999999996, 0.05397997581620313, 41.35, 23.4, -0.42805320435308347
4416, 4.5, 5.34, 0.05085714285714286, 105.0, 91.5, -0.08571428571428572
4908, 0.4, 1.7899999999999998, 0.05897858319604612, 30.35, 18.7, -0.370675453047776
5209, 2.528, 4.130550863999999, 0.07578992411009172, 54.5, 41.8, -0.18664220183486244
5356, 4.0, 4.5200000000000005, 0.06656848306332842, 67.9, 39.9, -0.3534609720176731
5439, 1.5, 1.8800000000000001, 0.07932489451476794, 23.7, 18.9, -0.13924050632911394
5508, 2.37, 6.230264138000001, 0.0936881825263158, 66.5, 28.6, -0.5342857142857143
5511, 0.6, 1.49, 0.05398550724637681, 27.6, 25.2, -0.0652173913043479
