stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
6189, 2.3, 2.1398159436891167, 0.0692497069155054, 0.12679035693990187, 30.9, 34.3, 0.327831715210356
6202, 3.5, 3.501132838416132, 0.0693293631369531, 0.06944407314370406, 50.5, 65.8, 0.5465346534653465
5356, 4.0, 3.780866066584551, 0.08255166084245745, 0.028918567344448618, 45.8, 28.3, -0.20742358078602613
6263, 3.9, 3.644676632580524, 0.07553733953534765, 0.0006954387287386568, 48.25, 64.0, 0.5854922279792746
3556, 3.7, 3.4588402633797166, 0.0687642199479069, 0.2928754639040592, 50.3, 47.35, 0.1685089463220677
6803, 11.37, 11.14016191711978, 0.06311706468623104, 0.022413790950334297, 176.5, 213.0, 0.3873654390934844
8422, 11.5, 11.158817265206112, 0.0678347554115873, 0.000497889985606578, 164.5, 158.0, 0.1580547112462006
8426, 4.0, 3.6709384303156005, 0.06698792756050366, 0.2671050467582583, 54.8, 21.25, -0.5336222627737227
8416, 6.0, 5.7684649221717965, 0.06304333248275187, 0.12538384912812606, 91.5, 117.5, 0.5469945355191257
8464, 10.0, 57.42482547419184, 0.17244692334592143, 0.04089126271195154, 333.0, 247.5, -0.16666666666666666
6435, 3.0, 2.8721157717045194, 0.07189276024291663, 0.369938151202598, 39.95, 98.7, 1.8101690480600747
