stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
2383, 1.8, 1.7880045793851067, 0.06646857172435341, 26.9, 109.5, 3.390334572490706
2404, 2.4, 3.759431493645105, 0.09203014672325838, 40.85, 51.3, 0.47368421052631565
2545, 4.0, 7.377138911254285, 0.1373768884777334, 53.7, 38.5, -0.11173184357541906
2850, 1.0, 1.5652824324572534, 0.06401973138884472, 24.45, 26.15, 0.21832310838445806
2904, 2.0, 2.1077141170358344, 0.07595366187516521, 27.75, 24.45, 0.09729729729729727
3045, 5.6, 6.435011808313526, 0.06613578425810407, 97.3, 104.5, 0.24665981500513876
6115, 3.5, 3.071717378043308, 0.06933899273235458, 44.3, 44.7, 0.24604966139954867
6128, 2.25, 2.188933301888382, 0.0657337327894409, 33.3, 42.4, 0.5150150150150151
8072, 5.0, 6.523320381597002, 0.07656479321123241, 85.2, 21.85, -0.6563380281690141
9912, 1.0, 3.8468370709346416, 0.21857028812128643, 17.6, 7.68, -0.45000000000000007
4908, 1.55, 2.642993542782508, 0.09051347749255165, 29.2, 17.7, -0.2654109589041096
5356, 3.6, 4.716042147133293, 0.07899568085650406, 59.7, 44.6, -0.03350083752093805
5439, 1.1, 1.1956747391202684, 0.06498232277827547, 18.4, 27.8, 0.7391304347826089
5508, 10.08, 10.279532699821017, 0.13891260405163536, 74.0, 24.5, -0.41810810810810806
6203, 3.0, 2.494603039844369, 0.06404629113849471, 38.95, 30.75, 0.007702182284980671
6210, 3.5, 3.0654121254198765, 0.0657813760819716, 46.6, 33.2, -0.04077253218884117
6261, 3.7, 4.499360910019115, 0.0671546404480465, 67.0, 45.0, -0.14925373134328357
8042, 3.5, 3.8775083847100964, 0.06924122115553744, 56.0, 58.1, 0.20714285714285716
8091, 4.000207, 8.447681710497088, 0.14415839096411412, 58.6, 52.9, 0.09057834470989755
8210, 2.0, 2.412399207916896, 0.06433064554445056, 37.5, 51.9, 0.5866666666666667
3390, 3.4, 2.731892502021754, 0.06933737314776026, 39.4, 15.05, -0.4606598984771573
2107, 2.0, 2.9891025277421495, 0.10236652492267635, 29.2, 15.85, -0.2636986301369863
3527, 4.0, 6.408820230629026, 0.07666052907450988, 83.6, 69.8, -0.021531100478468866
3515, 9.576, 8.499702969199484, 0.06966969646884823, 122.0, 37.95, -0.5571639344262295
3556, 7.0, 6.5669482052049375, 0.06646708709721597, 98.8, 48.2, -0.36032388663967607
3563, 4.2, 5.492040229820803, 0.07502787199208746, 73.2, 58.8, -0.04061475409836074
3131, 12.0, 16.726635060397086, 0.07534520297476165, 222.0, 168.0, -0.10135135135135136
4144, 3.6, 12.192844280232288, 0.139506227462612, 87.4, 49.0, -0.339816933638444
5536, 10.0, 9.73485011394395, 0.0778788009115516, 125.0, 93.4, -0.10879999999999995
3163, 2.5860000000000003, 23.971271394920194, 0.23049299418192495, 104.0, 48.1, -0.5020721153846154
5251, 2.5, 5.196549307913748, 0.0681068061325524, 76.3, 28.1, -0.5268676277850589
5269, 1.25, 3.7487390255191024, 0.0914326591590025, 41.0, 308.0, 6.689024390243903
