stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1439, 0.5, 2.2, 0.14102564102564105, 15.6, 19.1, 0.32051282051282065
2103, 1.37, 3.4200000000000004, 0.07524752475247524, 45.45, 36.15, -0.12359735973597369
2374, 2.2, 2.419963724, 0.12252980881012658, 19.75, 16.95, 0.04556962025316453
2430, 2.0, 3.1, 0.06896551724137931, 44.95, 28.45, -0.28698553948832045
2457, 0.49530506, 2.411614, 0.1132213145539906, 21.3, 11.15, -0.43077542816901404
2462, 1.4, 2.216648592, 0.06737533714285714, 32.9, 21.15, -0.31193617021276604
2498, 0.0, 26.4, 0.17837837837837836, 148.0, 79.3, -0.4616216216216217
2548, 5.5, 5.531617842, 0.06569617389548693, 84.2, 61.4, -0.08076009501187653
2904, 2.0, 1.8239999999999998, 0.06572972972972972, 27.75, 24.45, 0.09729729729729727
3033, 2.0155, 1.7677325999999998, 0.07056816766467065, 25.05, 17.2, -0.09541469061876252
3231, 1.8, 2.119583838, 0.07938516247191012, 26.7, 26.65, 0.16819437078651683
3311, 1.0, 4.380000000000001, 0.1060532687651332, 41.3, 16.4, -0.5390985472154963
5471, 3.2, 3.478, 0.0651310861423221, 53.4, 32.1, -0.23782771535580516
5534, 6.5, 5.88, 0.06433260393873085, 91.4, 65.0, -0.15560448577680533
6115, 3.5, 3.4310874, 0.0774511828442438, 44.3, 44.7, 0.24604966139954867
6128, 2.25, 2.369999998, 0.07117117111111111, 33.3, 42.4, 0.5150150150150151
8072, 5.0, 6.6, 0.07746478873239436, 85.2, 21.85, -0.6563380281690141
9937, 1.2, 2.18, 0.07389830508474576, 29.5, 38.4, 0.43050847457627117
3093, 2.45, 3.832, 0.08611235955056179, 44.5, 31.55, -0.14382022471910108
3211, 5.0, 6.1945976, 0.07079540114285714, 87.5, 36.8, -0.42514285714285716
3213, 2.6, 4.1, 0.0871413390010627, 47.05, 41.95, 0.07863974495217868
4908, 1.55, 1.8399999999999999, 0.06301369863013698, 29.2, 17.7, -0.2654109589041096
5209, 4.26, 3.567665356, 0.06314451957522124, 56.5, 40.6, -0.11649557522123892
5439, 1.1, 1.72, 0.09347826086956522, 18.4, 27.8, 0.7391304347826089
5522, 3.5, 4.5600000000000005, 0.08976377952755907, 50.8, 37.05, -0.05807086614173227
6203, 3.0, 3.358652, 0.08622983311938383, 38.95, 30.75, 0.007702182284980671
6218, 1.0, 1.7, 0.06614785992217899, 25.7, 18.9, -0.14785992217898836
6231, 0.55, 4.455519334, 0.07425865556666666, 60.0, 23.8, -0.5733333333333335
8081, 5.65, 7.343075538000001, 0.07895780148387098, 93.0, 68.6, -0.08333333333333341
8103, 1.8, 2.721132158, 0.07022276536774194, 38.75, 29.05, -0.12345806451612902
3293, 2.0, 9.396761454, 0.14798049533858268, 63.5, 206.0, 2.3905511811023623
4725, 0.0, 3.278, 0.11, 29.8, 22.55, -0.24328859060402683
3527, 4.0, 7.209064874000001, 0.08623283342105265, 83.6, 69.8, -0.021531100478468866
3515, 9.576, 9.1, 0.07459016393442623, 122.0, 37.95, -0.5571639344262295
3526, 0.10037495, 3.649491014, 0.11945960765957447, 30.55, 67.4, 1.2978846137479543
3546, 1.5, 4.25818, 0.07900148423005567, 53.9, 85.0, 0.614100185528757
3588, 2.0043, 2.923610724, 0.07156941796817626, 40.85, 35.6, 0.006225214198286429
3628, 2.5, 4.9, 0.09297912713472486, 52.7, 40.6, -0.04459203036053133
