stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1232, 3.8, 2.9400000000000004, 0.05589353612167301, 52.6, 62.8, 0.26615969581749044
1439, 0.5, 2.2, 0.14285714285714288, 15.4, 15.6, 0.04545454545454541
1442, 4.0, 1.64, 0.0563573883161512, 29.1, 37.1, 0.41237113402061853
1521, 3.7, 3.1, 0.0610236220472441, 50.8, 61.8, 0.28937007874015747
1808, 0.3, 1.930468, 0.0539991048951049, 35.75, 32.4, -0.08531468531468536
2103, 1.37, 3.4200000000000004, 0.05606557377049181, 61.0, 45.45, -0.23245901639344255
2374, 2.2, 2.419963724, 0.08461411622377622, 28.6, 19.75, -0.23251748251748255
2382, 3.8, 3.756209002, 0.054437811623188406, 69.0, 79.9, 0.21304347826086967
2404, 2.4, 2.25144, 0.08863937007874016, 25.4, 40.85, 0.7027559055118111
2430, 2.0, 3.1, 0.051666666666666666, 60.0, 44.95, -0.21749999999999994
2457, 0.49530506, 2.411614, 0.09066218045112782, 26.6, 21.3, -0.1806276293233083
2462, 1.4, 2.216648592, 0.0708194438338658, 31.3, 32.9, 0.09584664536741207
2498, 0.0, 26.4, 0.08585365853658536, 307.5, 148.0, -0.5186991869918699
2542, 2.0, 3.886186000000001, 0.06339618270799349, 61.3, 63.0, 0.060358890701468236
2548, 5.5, 5.531617842, 0.07434970217741935, 74.4, 84.2, 0.20564516129032254
2850, 1.0, 1.430190148, 0.06976537307317074, 20.5, 24.45, 0.2414634146341463
2904, 2.0, 1.8239999999999998, 0.07125, 25.6, 27.75, 0.16210937499999994
3033, 2.0155, 1.7677325999999998, 0.08222012093023255, 21.5, 25.05, 0.2588604651162791
3036, 2.5, 2.3181944280000004, 0.06132789492063494, 37.8, 38.3, 0.07936507936507937
3231, 1.8, 2.119583838, 0.05879566818307906, 36.05, 26.7, -0.2094313453536754
3311, 1.0, 4.380000000000001, 0.07423728813559323, 59.0, 41.3, -0.28305084745762715
3356, 7.2, 7.336208958, 0.058223880619047624, 126.0, 191.0, 0.5730158730158731
5434, 3.6, 2.7, 0.05476673427991887, 49.3, 61.3, 0.31643002028397565
5471, 3.2, 3.478, 0.07995402298850575, 43.5, 53.4, 0.3011494252873563
5534, 6.5, 5.88, 0.06, 98.0, 91.4, -0.001020408163265248
6115, 3.5, 3.4310874, 0.08092187264150943, 42.4, 44.3, 0.1273584905660377
6128, 2.25, 2.369999998, 0.07645161283870967, 31.0, 33.3, 0.146774193548387
6202, 3.3, 2.5733079279999997, 0.08300993316129031, 31.0, 62.2, 1.1129032258064515
6206, 6.0, 3.899255738, 0.05370875672176309, 72.6, 121.0, 0.7493112947658404
6277, 5.0, 3.28, 0.06978723404255319, 47.0, 93.5, 1.0957446808510638
6281, 3.5, 3.8280000000000003, 0.05588321167883212, 68.5, 63.9, -0.016058394160583963
8072, 5.0, 6.6, 0.07292817679558011, 90.5, 85.2, -0.003314917127071792
9930, 3.3, 2.7600000000000002, 0.05227272727272728, 52.8, 70.4, 0.39583333333333354
9937, 1.2, 2.18, 0.07194719471947195, 30.3, 29.5, 0.013201320132013175
9942, 4.0, 3.0391977760000004, 0.0599447293096647, 50.7, 95.7, 0.9664694280078895
3093, 2.45, 3.832, 0.08849884526558892, 43.3, 44.5, 0.08429561200923795
3211, 5.0, 6.1945976, 0.05317251158798283, 116.5, 87.5, -0.20600858369098712
3213, 2.6, 4.1, 0.11141304347826086, 36.8, 47.05, 0.3491847826086957
4401, 3.7, 1.6199999999999999, 0.056055363321799306, 28.9, 109.5, 2.916955017301038
4908, 1.55, 1.8399999999999999, 0.06467486818980668, 28.45, 29.2, 0.08084358523725835
5209, 4.26, 3.567665356, 0.05829518555555555, 61.2, 56.5, -0.007189542483660181
5356, 3.6, 2.92, 0.07849462365591398, 37.2, 59.7, 0.7016129032258064
5439, 1.1, 1.72, 0.09197860962566845, 18.7, 18.4, 0.042780748663101574
5490, 3.5, 1.8323956200000004, 0.06591351151079138, 27.8, 61.7, 1.3453237410071943
5508, 10.08, 4.2662641379999995, 0.07075064905472636, 60.3, 74.0, 0.3943615257048093
5522, 3.5, 4.5600000000000005, 0.08113879003558719, 56.2, 50.8, -0.03380782918149476
6123, 1.3, 1.9799999999999998, 0.06470588235294117, 30.6, 38.8, 0.3104575163398692
6146, 4.3, 4.22898, 0.06200850439882698, 68.2, 143.5, 1.1671554252199412
6203, 3.0, 3.358652, 0.09981135215453196, 33.65, 38.95, 0.24665676077265988
6210, 3.5, 2.34, 0.05246636771300448, 44.6, 46.6, 0.12331838565022421
6213, 2.2, 1.7130360000000002, 0.05455528662420383, 31.4, 33.2, 0.12738853503184727
6218, 1.0, 1.7, 0.07127882599580712, 23.85, 25.7, 0.11949685534591185
