stock, y_true, y_pred, error(%) 
1215, 3.0, 3.032187631061967, 1.072921035398903
1227, 2.5, 1.2183412015968607, -51.266351936125574
1232, 5.0, 4.674379700692782, -6.512405986144358
1476, 11.0, 8.154293834383047, -25.870056051063205
1477, 7.1, 5.0170407794711425, -29.337453810265597
1521, 3.8, 5.933231785825513, 56.13767857435562
1527, 4.0, 2.9714608130565496, -25.71347967358626
1536, 3.5, 2.945639778497365, -15.838863471503853
1537, 10.0, 8.904418383614518, -10.955816163854823
1539, 1.8, 0.4799980129547276, -73.33344372473735
1541, 1.0, 1.3362507490684115, 33.62507490684115
1560, 3.5, 4.5137887642462085, 28.965393264177386
1702, 2.7, 1.7845046110595453, -33.907236627424254
1707, 6.5, 7.165786610536273, 10.242870931327275
1723, 5.3, 4.809608999245361, -9.25266039159696
2105, 1.1, 1.2315124408185936, 11.95567643805395
2207, 12.0, 12.389758293979142, 3.2479857831595162
2227, 17.67, 21.680424305201235, 22.696232627058478
2308, 5.0, 5.349811571161214, 6.996231423224283
2330, 8.0, 6.368972968290099, -20.38783789637376
2345, 4.0, 4.182631952735405, 4.565798818385125
2348, 3.8, 0.03773277499900453, -99.0070322368683
2360, 4.2, 4.419886426349359, 5.235391103556171
2373, 6.0, 5.37019868760579, -10.496688539903493
2383, 3.8, 5.2357379199128555, 37.782576839811995
2395, 6.8, 6.507680095325075, -4.298822127572429
2404, 10.0, 4.0375116225132315, -59.62488377486769
2408, 7.15344156, 2.281983618816718, -68.09950008431022
2420, 2.8, 2.751942086481245, -1.7163540542412457
2428, 3.8, 4.040362856482414, 6.325338328484581
2439, 8.6, 9.907800691472346, 15.206984784562167
2441, 2.7, 3.1032043684005797, 14.933495125947388
2450, 1.45, 2.8633120584277076, 97.46979713294536
2451, 5.0, 6.316725210004607, 26.334504200092145
2458, 5.0, 2.389872277575114, -52.202554448497715
4763, 4.0, 2.686135496182832, -32.84661259542921
2474, 12.0, 9.990727549091684, -16.743937090902637
2539, 0.2, 0.7167698886151069, 258.38494430755344
2542, 3.5, 1.0183548201605306, -70.90414799541341
2548, 5.0, 5.208180996427838, 4.163619928556752
2707, 11.075, 7.664248463512006, -30.79685360260039
2912, 8.8, 8.358395634775372, -5.0182314230071485
2915, 5.5, 10.447839207917553, 89.96071287122824
3008, 68.0, 71.98546606462753, 5.860979506805192
3022, 1.5, 1.9133108447452347, 27.55405631634898
3023, 4.5, 4.1166662952302815, -8.518526772660412
3030, 3.7, 2.309656704580736, -37.576845822142275
3034, 8.8, 6.73515160255807, -23.46418633456739
3040, 2.0, 17.24090712941074, 762.045356470537
3045, 5.6, 5.630560565708708, 0.5457243876555123
3056, 1.0, 0.2616822342122363, -73.83177657877637
4904, 3.75, 3.5817874156720486, -4.485668915412036
5434, 5.3, 4.710945782229253, -11.114230523976362
5534, 7.0, 8.251796145438533, 17.882802077693327
6128, 2.0, 2.0356321636014068, 1.7816081800703376
6202, 4.7, 3.9268513287857956, -16.4499717279618
6206, 5.0, 4.459236343074197, -10.815273138516055
6216, 2.02570005, 1.9957496613419983, -1.4785204086854775
6269, 5.0, 3.6569720171091302, -26.860559657817397
6277, 8.0, 5.145393007804855, -35.68258740243932
6281, 4.0, 3.9031482326519433, -2.421294183701417
6505, 4.8, 7.227329331888637, 50.56936108101328
8016, 5.0, 5.587412390020106, 11.748247800402112
9910, 6.7, 4.672057572567909, -30.267797424359564
9914, 3.5, 2.8145710233868306, -19.583685046090554
9917, 4.0, 2.8342868262453313, -29.142829343866715
9921, 4.6, 4.3317630893281, -5.831237188519556
9927, 1.38, 3.3559929851207153, 143.1878974725156
9930, 2.0, 3.0104526354906143, 50.522631774530716
9940, 1.3, 2.900822708204148, 123.14020832339598
9941, 5.5, 6.460390929475438, 17.461653263189785
9942, 4.2, 4.54546627658269, 8.2253875376831
9943, 5.4, 3.475759300620616, -35.634087025544154
9945, 2.0, 1.3552213185221336, -32.23893407389332
1565, 26.5, 24.789308248196495, -6.4554405728434165
2059, 9.5, 6.225180378601629, -34.4717854884039
3088, 3.75, 10.148839273894044, 170.63571397050785
3213, 2.8, 5.243547445140141, 87.26955161214791
3226, 3.0, 0.6882664582520095, -77.05778472493301
4105, 4.5, 3.3808587322678076, -24.869805949604274
4107, 4.0, 2.836188609512203, -29.09528476219493
4126, 3.2, 2.2238861382152093, -30.503558180774714
4303, 1.2, 6.0452913354027835, 403.7742779502319
4305, 2.6, 2.1207010216653694, -18.434576089793488
4401, 2.0, 3.7645418330638827, 88.22709165319414
4528, 2.1, 2.2283217437992144, 6.110559228534016
4907, 1.5, 0.0, -100.0
5007, 3.0, 2.628857541981742, -12.37141526727526
5015, 4.2, 1.5487384410844414, -63.12527521227521
5209, 2.7767, 3.6441634019028646, 31.24080390041649
5306, 4.5, 3.076909806189456, -31.624226529123195
5312, 3.8, 3.210625708480333, -15.50984977683334
5347, 3.2, 2.278628308106403, -28.792865371674914
5388, 2.5, 4.120198166231693, 64.80792664926771
5403, 3.0, 3.086512231250036, 2.8837410416678644
5474, 3.8, 3.2283710810711064, -15.042866287602461
5489, 2.0, 1.9916974714607225, -0.41512642696387436
5490, 0.5, 1.8424939858711125, 268.4987971742225
5508, 2.8603099999999997, 2.6281177327421656, -8.117730849377656
5530, 3.0, 2.110370951236691, -29.65430162544364
5903, 5.8, 4.830232343072619, -16.72013201598933
5904, 15.75, 12.140013088287137, -22.92055182039913
6114, 1.5, 1.1479123187215936, -23.472512085227095
6143, 4.0, 1.954369340663258, -51.140766483418545
6146, 6.2, 6.168714094981317, -0.5046113712690896
6176, 7.0, 4.918691986355334, -29.732971623495224
6177, 0.5, 0.31763977687420686, -36.47204462515863
6186, 1.0, 0, -100.0
6195, 3.0, 3.8365774453274453, 27.885914844248177
6203, 2.5, 1.1946310697336173, -52.21475721065531
6210, 2.6, 3.1167236715227653, 19.873987366260202
6224, 3.75, 3.451507531516453, -7.959799159561255
6230, 4.7, 4.7069541299007005, 0.14796021065319837
6238, 8.25, 2.8148273115600952, -65.88088107199884
6263, 4.3, 4.019384800394511, -6.525934874546248
6279, 4.0, 7.233074701947371, 80.82686754868426
6294, 8.0, 2.3441902031315656, -70.69762246085543
8066, 10.0, 4.808273441837819, -51.91726558162182
8083, 8.8, 7.5733148199625315, -13.939604318607604
8109, 4.5, 4.023659025281938, -10.585354993734716
8114, 6.2, 10.471738267177155, 68.89900430930895
8210, 4.0, 2.7880231506622346, -30.299421233444136
8299, 13.0, 17.38461777712029, 33.72782905477146
8928, 1.5, 0.6502683279736087, -56.64877813509276
9951, 4.2, 5.686078537395528, 35.382822318941145
1558, 11.0, 6.348753502170738, -42.28405907117511
2114, 5.0, 3.6861282449893906, -26.277435100212188
3130, 8.51, 7.511082667392407, -11.73815902006572
3152, 9.88, 11.39544584636676, 15.338520712214162
3293, 11.0, 12.892182296578424, 17.201657241622037
3450, 3.0, 3.644058500923625, 21.468616697454166
3454, 2.5, 4.39656987905227, 75.86279516209078
4426, 0.36, 0.2829493162997884, -21.402967694503214
8048, 2.2, 1.561019262855528, -29.04457896111237
8215, 0.6, 0.3314790636359096, -44.75348939401506
8255, 5.0, 5.90118174285784, 18.023634857156807
8271, 2.5, 3.1388217759791455, 25.55287103916582
2231, 7.67384785, 8.50072158816175, 10.775216740344302
1580, 6.5, 8.336701773483306, 28.256950361281625
3529, 8.0, 8.63450902848589, 7.931362856073632
3541, 4.0, 4.727535466075124, 18.188386651878098
3556, 3.3, 3.367533724560424, 2.0464765018310356
3563, 27.0, 8.158201480476556, -69.78443896119794
1773, 5.0, 4.055455389174032, -18.89089221651936
3623, 2.5, 2.778010554142669, 11.120422165706767
3131, 8.0, 12.725987113904731, 59.07483892380914
3611, 10.0, 11.26466801253103, 12.646680125310308
2634, 1.34, 0.9355232254232524, -30.184833923637882
4736, 8.0, 4.116797125650011, -48.54003592937486
1590, 5.33368, 8.188308094595216, 53.520797921795385
3665, 7.5, 8.61049663070949, 14.806621742793194
4952, 2.5, 3.4109408108292723, 36.43763243317089
4958, 4.4597739999999995, 1.9711850101841446, -55.80078698642252
5871, 4.2, 3.6599928526895167, -12.857313031201986
8422, 10.0, 10.692490133642501, 6.924901336425009
2233, 4.0, 6.009293438874457, 50.23233597186143
4947, 7.2, 7.947903541992634, 10.387549194342137
4966, 12.41, 7.078942278994346, -42.95775762293032
4974, 3.1, 3.0252956628560344, -2.409817327224701
4987, 5.1165435, 3.488967840376852, -31.81006200031619
4995, 2.14818643, 2.3736273288675376, 10.494475512888219
6504, 5.0, 3.804479377986076, -23.91041244027848
2640, 3.3, 3.3992216206744588, 3.0067157780139073
2729, 13.6, 12.256506726960657, -9.878627007642226
4163, 4.5, 3.2058275070795, -28.75938873156667
4745, 0.3, 1.9725994321999916, 557.5331440666639
4999, 3.5, 2.6632033212373036, -23.90847653607704
5234, 5.0, 3.477334657483626, -30.45330685032748
5269, 12.0, 5.524568410756541, -53.96192991036216
