stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1232, 5.0, 4.8764786725282185, 0.06416419305958182, 76.0, 100.0, 0.5131578947368421
1442, 1.0, 1.88585287331655, 0.10807179789779657, 17.45, 15.45, 0.10315186246418337
2227, 12.5, 20.390305755477755, 0.07308353317375539, 279.0, 230.0, 0.023297491039426525
2382, 3.8, 3.7880618532331054, 0.07080489445295524, 53.5, 55.9, 0.24485981308411212
2404, 4.0, 3.4217792702404206, 0.07785618362321775, 43.95, 94.0, 1.4800910125142206
2904, 2.0, 2.021314143660595, 0.0780430171297527, 25.9, 20.6, -0.028957528957528855
2915, 1.6, 7.761545984811793, 0.12478369750501274, 62.2, 82.0, 0.4083601286173633
3030, 4.0, 3.2740055940427752, 0.06681644069475051, 49.0, 48.3, 0.18979591836734688
3034, 9.0, 8.979302280809009, 0.06368299489935467, 141.0, 158.0, 0.2843971631205674
3356, 4.0, 4.768739867151363, 0.06568512213707113, 72.6, 30.45, -0.5117079889807161
5434, 3.9, 3.9658888984207086, 0.07276860364074694, 54.5, 71.0, 0.5431192660550459
5471, 2.2, 2.583031951745042, 0.07115790500675047, 36.3, 28.55, -0.06198347107438007
6189, 3.0, 2.88194668289114, 0.0944900551767587, 30.5, 28.7, 0.17377049180327866
6202, 3.57, 3.448711618382065, 0.06722634733688236, 51.3, 70.5, 0.5920077972709553
6277, 5.2, 5.110922499688431, 0.07168194249212385, 71.3, 93.4, 0.5413744740532961
6281, 3.7, 3.705339120202669, 0.06489210368130768, 57.1, 63.8, 0.32749562171628716
9930, 3.5, 3.8250209207895574, 0.06353855350148765, 60.2, 52.4, -0.008305647840531635
3088, 4.3, 4.288094247426693, 0.06400140667801035, 67.0, 53.1, -0.0062686567164178825
3211, 3.5, 4.1604374185583035, 0.08578221481563512, 48.5, 46.9, 0.15257731958762882
3213, 3.1, 3.0673993484039763, 0.07133486856753433, 43.0, 37.55, 0.11744186046511622
3265, 0.25, 2.349219821855424, 0.10039400948100102, 23.4, 22.95, 0.08333333333333338
4908, 0.4, 1.2611901498965614, 0.06744332352388029, 18.7, 23.95, 0.38021390374331554
5209, 2.528, 2.66167236912518, 0.06367637246710957, 41.8, 42.4, 0.20358851674641154
5349, 2.5685, 2.555913448619449, 0.07539567695042623, 33.9, 33.0, 0.08577451327433631
5356, 4.0, 2.853762933085447, 0.07152288052845732, 39.9, 24.9, -0.12531328320802004
5439, 1.5, 1.5666363829865202, 0.0828908139146307, 18.9, 40.1, 1.412698412698413
5490, 4.5, 4.737698161863617, 0.06250261427260709, 75.8, 24.1, -0.5567282321899736
5508, 2.37, 2.7107226158126667, 0.09478051104240093, 28.6, 31.95, 0.35835664335664325
6121, 7.0, 6.83353360137376, 0.06446729812616754, 106.0, 222.0, 1.3113207547169812
6203, 2.0, 2.059276223856382, 0.06642826528568974, 31.0, 30.25, 0.1435483870967742
6210, 4.0, 4.149443429826466, 0.09231242335542748, 44.95, 30.3, -0.11457174638487212
6224, 4.3, 5.4603517966479735, 0.08198726421393354, 66.6, 56.5, 0.026276276276276357
6263, 3.8, 3.3353569119019326, 0.07563167600684655, 44.1, 59.0, 0.6099773242630385
6292, 2.0, 3.0262993025611804, 0.10435514836417864, 29.0, 29.6, 0.27931034482758627
8081, 5.0, 4.448276439299328, 0.07197858316018331, 61.8, 64.5, 0.27831715210355995
8091, 3.0, 4.3513786933249765, 0.06694428758961503, 65.0, 74.1, 0.3714082307692307
8109, 4.5, 4.515677396907167, 0.07501125244031838, 60.2, 79.6, 0.5215946843853819
2107, 0.85, 1.3882097772429631, 0.08094517651562468, 17.15, 15.15, 0.0029154518950438254
3527, 3.5, 3.4782984462364777, 0.07977748729900178, 43.6, 90.5, 1.2935779816513762
1580, 7.0, 7.0143195955620055, 0.06777120382185513, 103.5, 123.0, 0.41545893719806765
3556, 3.7, 3.735539577512646, 0.0707488556347092, 52.8, 40.95, -0.006628787878787771
1773, 3.0, 2.5833110116442475, 0.0638643018947898, 40.45, 83.0, 1.3386897404202718
6803, 9.6934, 10.278456970594801, 0.0642403560662175, 160.0, 177.5, 0.30152125
4960, 0.5, 1.858750749529164, 0.09111523282005707, 20.4, 12.4, -0.3676470588235293
1258, 1.51709296, 4.802970878038223, 0.12007427195095557, 40.0, 22.1, -0.36382267599999996
3628, 3.25, 3.620823683382859, 0.06780568695473518, 53.4, 33.3, -0.21254681647940077
4933, 1.25, 1.487316527438651, 0.06302188675587504, 23.6, 21.8, 0.06779661016949151
4974, 2.65, 2.583708025779295, 0.06763633575338468, 38.2, 40.95, 0.2895287958115183
4987, 5.0, 4.602017569314021, 0.06679270782748942, 68.9, 56.2, 0.007256894049346828
3689, 1.5, 2.284870406613375, 0.06680907621676535, 34.2, 26.95, -0.054093567251462076
4999, 3.0, 2.720566042781323, 0.0648525874322127, 41.95, 47.85, 0.35756853396901067
5234, 2.0, 2.3543951802180882, 0.07594823161993833, 31.0, 94.0, 2.306451612903226
5251, 2.0, 2.2407772572842832, 0.07310855651824742, 30.65, 14.9, -0.36378466590538333
5225, 3.0, 4.930129010823036, 0.10186216964510404, 48.4, 28.1, -0.3200413223140495
8429, 0.4, 4.351052474525773, 0.07540818846665116, 57.7, 17.7, -0.6719237435008666
4977, 3.0, 4.303416594613444, 0.07419683783816283, 58.0, 85.0, 0.6760474137931035
6435, 3.04130128, 2.2294356789851077, 0.06557163761720905, 34.0, 125.0, 2.957097096470588
