stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1227, 1.6, None, None, 94.0, 76.8, -0.17556421276595752
1231, 1.0, None, None, 39.85, 31.9, -0.1373254905897115
1232, 3.8, None, None, 62.8, 85.0, 0.5732484076433121
1233, 2.3, None, None, 48.4, 36.8, -0.10743801652892565
1234, 1.5, None, None, 35.4, 32.3, 0.031073446327683583
1314, 0.0, None, None, 14.15, 11.2, -0.2084805653710248
1414, 0.48, None, None, 10.1, 6.35, -0.2742574257425743
1432, 0.0, None, None, 24.4, 15.95, -0.34631147540983603
1438, 0.0, None, None, 5.11, 4.86, -0.04892367906066536
1439, 0.5, None, None, 15.6, 19.1, 0.32051282051282065
1442, 4.0, None, None, 37.1, 17.6, -0.3706199460916442
1476, 7.0, None, None, 348.0, 325.0, 0.007471264367816092
1477, 7.2, None, None, 161.0, 116.0, -0.13693049999999998
1521, 3.7, None, None, 61.8, 80.5, 0.5129449838187703
1535, 3.5, None, None, 79.9, 48.85, -0.25093867334167713
1537, 5.5, None, None, 78.8, 157.0, 1.2398477157360408
1707, 5.0, None, None, 150.5, 178.5, 0.29169435215946843
1723, 8.3, None, None, 170.0, 122.5, -0.1552941176470588
1733, 3.3, None, None, 69.9, 40.05, -0.3118741058655223
1808, 0.3, None, None, 32.4, 34.6, 0.3549382716049384
2103, 1.37, None, None, 45.45, 36.15, -0.12359735973597369
2105, 3.0, None, None, 79.9, 62.2, -0.1088861076345432
2106, 1.8, None, None, 71.2, 48.0, -0.2728180773930251
2207, 9.5, None, None, 386.0, 358.0, 0.010362694300518135
2227, 19.47, None, None, 440.0, 198.0, -0.4091590909090909
2308, 5.8, None, None, 174.5, 174.0, 0.09340974212034385
2311, 1.3, None, None, 29.6, 34.3, 0.3243243243243242
2330, 3.0, None, None, 108.5, 185.5, 0.8341013824884793
2347, 2.8, None, None, 56.2, 32.6, -0.298932384341637
2357, 19.5, None, None, 295.0, 273.0, 0.1
2360, 2.5, None, None, 67.0, 81.9, 0.3343283582089553
2374, 2.2, None, None, 19.75, 16.95, 0.04556962025316453
2382, 3.8, None, None, 79.9, 63.6, -0.05882352941176476
2383, 1.8, None, None, 26.9, 109.5, 3.390334572490706
2385, 4.6, None, None, 80.2, 73.7, 0.0892304193422693
2395, 5.3, None, None, 206.0, 265.0, 0.40742718446601944
2404, 2.4, None, None, 40.85, 51.3, 0.47368421052631565
2430, 2.0, None, None, 44.95, 28.45, -0.28698553948832045
2450, 4.0, None, None, 94.4, 52.2, -0.3569915254237288
