stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
2383, 1.8, 1.7880045793851067, 0.06646857172435341, 0.09510396070343707, 26.9, 109.5, 3.390334572490706
2850, 1.0, 1.5652824324572534, 0.06401973138884472, 0.16834679976206657, 24.45, 26.15, 0.21832310838445806
3045, 5.6, 6.435011808313526, 0.06613578425810407, 0.005029280974463824, 97.3, 104.5, 0.24665981500513876
6128, 2.25, 2.188933301888382, 0.0657337327894409, 0.2879540326882547, 33.3, 42.4, 0.5150150150150151
9912, 1.0, 3.8468370709346416, 0.21857028812128643, 0.07412722909852422, 17.6, 7.68, -0.4725000000000001
5439, 1.1, 1.1956747391202684, 0.06498232277827547, 0.0083804017837549, 18.4, 27.8, 0.7391304347826089
5508, 10.08, 10.279532699821017, 0.13891260405163536, 0.3635468845623037, 74.0, 24.5, -0.5017297297297296
8042, 3.5, 3.8775083847100964, 0.06924122115553744, 0.016406312944097737, 56.0, 58.1, 0.20714285714285716
2107, 2.0, 2.9891025277421495, 0.10236652492267635, 0.2902613282620949, 29.2, 15.85, -0.2636986301369863
3556, 7.0, 6.5669482052049375, 0.06646708709721597, 0.6554470589499027, 98.8, 48.2, -0.39369852631578944
3563, 4.2, 5.492040229820803, 0.07502787199208746, 0.2962047836648032, 73.2, 58.8, -0.04061475409836074
3131, 12.0, 16.726635060397086, 0.07534520297476165, 0.28473613641674705, 222.0, 168.0, -0.10135135135135136
4144, 3.6, 12.192844280232288, 0.139506227462612, 0.15012018402166688, 87.4, 49.0, -0.339816933638444
3163, 2.5860000000000003, 23.971271394920194, 0.23049299418192495, 0.5010603994064701, 104.0, 48.1, -0.5020721153846154
