stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1227, 1.6, None, None, 70.0, 74.8, 0.13714285714285712
1231, 0.9, None, None, 31.9, 34.3, 0.19968652037617554
1232, 5.0, None, None, 71.5, 91.2, 0.48531468531468536
1233, 2.1, None, None, 47.3, 35.8, -0.12262156448202963
1414, 0.3, None, None, 8.37, 7.69, 0.0023894862604541376
1432, 0.0, None, None, 22.25, 13.3, -0.4022471910112359
1438, 0.0, None, None, 6.8, 5.15, -0.24264705882352933
1442, 2.0, None, None, 24.1, 18.65, -0.06016597510373455
1476, 8.0, None, None, 349.5, 292.5, -0.08011444921316166
1477, 7.7, None, None, 179.5, 132.5, -0.12846796657381618
1521, 4.3, None, None, 71.0, 78.2, 0.30563380281690145
1535, 4.5, None, None, 69.5, 47.4, -0.1841726618705036
1537, 6.5, None, None, 97.6, 142.5, 0.6956967213114755
1707, 5.3, None, None, 136.0, 212.0, 0.6860294117647059
1723, 8.3, None, None, 157.0, 142.5, 0.0178343949044586
1733, 2.5, None, None, 58.4, 31.55, -0.3527397260273972
1808, 4.0, None, None, 29.9, 45.7, 0.996655518394649
2103, 1.52, None, None, 40.3, 35.85, -0.021588089330024707
2105, 3.0, None, None, 77.0, 50.8, -0.22337662337662342
2106, 2.25, None, None, 64.4, 37.0, -0.32531055900621125
2207, 10.5, None, None, 479.0, 379.5, -0.13569937369519833
2227, 30.0, None, None, 333.0, 264.5, -0.012012012012012012
2308, 6.0, None, None, 201.0, 147.0, -0.1890547263681592
2330, 4.5, None, None, 147.0, 255.0, 0.8537414965986394
2357, 17.0, None, None, 359.0, 281.0, -0.0807799442896936
2360, 2.6, None, None, 84.0, 166.0, 1.075
2362, 2.5, None, None, 49.65, 28.3, -0.3434038267875125
2382, 4.0, None, None, 80.7, 63.5, -0.0731102850061958
2383, 2.5, None, None, 43.3, 102.5, 1.632794457274827
2385, 4.65, None, None, 90.8, 76.8, -0.008810572687224677
2395, 6.0, None, None, 245.0, 228.0, 0.005306122448979595
2404, 2.5, None, None, 31.45, 59.3, 1.2829888712241653
2420, 3.5, None, None, 42.65, 34.55, 0.021101992966002313
2430, 0.4, None, None, 33.1, 23.9, -0.16918429003021157
2450, 1.5, None, None, 52.4, 51.3, 0.1412213740458015
2454, 22.0, None, None, 505.0, 299.0, -0.3237623762376238
2462, 1.1, None, None, 25.15, 31.25, 0.3180914512922466
2474, 6.0, None, None, 285.0, 334.0, 0.2631578947368421
2498, 0.38, None, None, 161.0, 71.0, -0.5566459627329193
2539, 1.0, None, None, 33.5, 28.35, -0.04328358208955219
2542, 4.0, None, None, 66.5, 45.8, -0.08571428571428576
2545, 4.0, None, None, 48.4, 31.0, -0.1590909090909091
2547, 1.0, None, None, 17.75, 12.15, -0.2591549295774648
2548, 5.0, None, None, 61.0, 72.6, 0.4540983606557376
2707, 9.509, None, None, 335.0, 155.0, -0.4580653179104478
2809, 1.5, None, None, 34.5, 41.75, 0.3115942028985507
2850, 1.068, None, None, 25.1, 29.6, 0.3445418326693227
2904, 2.0, None, None, 27.25, 18.9, -0.11009174311926612
2912, 7.0, None, None, 245.0, 288.5, 0.26816326530612244
2915, 6.0, None, None, 69.0, 51.5, -0.14347826086956522
3004, 0.0, None, None, 54.0, 50.1, -0.011111111111111087
3008, 51.0, None, None, 2805.0, 4005.0, 0.4912655971479501
3022, 2.5, None, None, 52.0, 40.55, -0.07596153846153851
3030, 4.3, None, None, 51.5, 45.4, 0.10097087378640775
3033, 1.948334, None, None, 23.7, 20.2, 0.042554257383966246
3034, 10.0, None, None, 199.5, 122.5, -0.2556390977443609
3044, 2.75, None, None, 70.4, 94.0, 0.48082386363636354
3045, 5.6, None, None, 113.0, 111.5, 0.13539823008849555
3052, 0.4, None, None, 12.3, 8.42, -0.21788617886178865
3056, 0.5, None, None, 19.3, 19.8, 0.25906735751295334
3311, 1.2, None, None, 23.25, 18.25, -0.13806451612903226
3356, 5.4, None, None, 119.0, 39.3, -0.5823529411764705
5434, 3.7, None, None, 57.4, 89.0, 0.770034843205575
5471, 3.2, None, None, 46.9, 35.1, -0.09808102345415771
5534, 4.0, None, None, 68.6, 87.8, 0.4693877551020409
6115, 3.5, None, None, 43.45, 45.1, 0.29113924050632906
