stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1232, 5.0, 3.804414411391346, 0.06057984731514882, 62.8, 71.5, 0.21815286624203828
1521, 4.3, 4.134076926194843, 0.0668944486439295, 61.8, 71.0, 0.21844660194174764
1537, 6.5, 5.172723479261249, 0.06564369897539656, 78.8, 97.6, 0.3210659898477157
2357, 17.0, 17.678692926215202, 0.059927772631237976, 295.0, 359.0, 0.2745762711864407
2383, 2.5, 1.7896636732766713, 0.06653024807719968, 26.9, 43.3, 0.7026022304832713
2385, 4.65, 4.331434599990842, 0.054007912718090294, 80.2, 90.8, 0.19014962593516202
2404, 2.5, 3.0380649939986406, 0.07437123608319805, 40.85, 31.45, -0.16891064871481032
2904, 2.0, 1.917602393435235, 0.06910278895262108, 27.75, 27.25, 0.05405405405405406
3030, 4.3, 3.0700425287496587, 0.06449669178045501, 47.6, 51.5, 0.17226890756302518
3034, 10.0, 8.936496122611008, 0.06619626757489636, 135.0, 199.5, 0.5518518518518518
5434, 3.7, 3.618864149075042, 0.05903530422634653, 61.3, 57.4, -0.0032626427406198763
5471, 3.2, 3.135588347242529, 0.05871888290716347, 53.4, 46.9, -0.06179775280898876
6115, 3.5, 3.4350220843632706, 0.07754000190436278, 44.3, 43.45, 0.05981941309255092
6128, 2.8, 2.358704301996464, 0.07083196102091485, 33.3, 34.9, 0.13213213213213218
6202, 3.5, 3.2004815933777837, 0.05145468799642739, 62.2, 61.9, 0.05144694533762051
6277, 5.7, 5.306091962805384, 0.05674964666102015, 93.5, 84.5, -0.03529411764705882
6281, 3.9, 3.6955667103029715, 0.05783359484042209, 63.9, 62.0, 0.03129890453834118
9910, 3.7, 4.6145917501656895, 0.06453974475756209, 71.5, 120.0, 0.7300699300699302
9930, 4.2, 3.586619147256217, 0.05094629470534399, 70.4, 72.4, 0.08806818181818181
9943, 3.0, 2.741222477186356, 0.06939803739712293, 39.5, 39.5, 0.0759493670886076
3088, 4.0, 3.455297215201052, 0.057301778029868196, 60.3, 78.4, 0.3665008291873965
3211, 5.0, 5.136553999654038, 0.05870347428176043, 87.5, 74.1, -0.09600000000000007
3213, 3.1, 2.70284143184172, 0.057446151580057815, 47.05, 42.9, -0.022316684378320906
4416, 4.5, 12.768693593845136, 0.09055811059464636, 141.0, 105.0, -0.22340425531914893
4908, 1.8, 1.846504808110732, 0.06323646603118946, 29.2, 30.35, 0.10102739726027404
5209, 2.53, 3.7388309723170554, 0.06617399951003639, 56.5, 54.5, 0.009380530973451325
5356, 5.5, 4.6812156730787775, 0.07841232283214032, 59.7, 67.9, 0.2294807370184255
5439, 1.6, 1.6772104017631388, 0.09115273922625755, 18.4, 23.7, 0.37500000000000006
5489, 4.0, 5.335646845187404, 0.06579095986667577, 81.1, 72.4, -0.05795314426633772
5508, 6.11, 8.307873686392261, 0.11226856332962515, 74.0, 66.5, -0.01878378378378378
5530, 3.6, 4.484009608407243, 0.05043880324417596, 88.9, 93.2, 0.08886389201349827
6203, 3.5, 3.1156548698101805, 0.07999113914788653, 38.95, 51.1, 0.40179717586649544
6210, 4.0, 3.8198954855611285, 0.08197200612792122, 46.6, 47.8, 0.11158798283261794
6213, 1.2, 1.7277333394478256, 0.05204016082674173, 33.2, 27.2, -0.14457831325301213
6224, 4.2, 4.425816381171069, 0.061214611081204275, 72.3, 68.0, -0.0013831258644536235
6279, 5.6, 5.239671244124641, 0.05738960836938271, 91.3, 117.0, 0.34282584884994527
6292, 3.0, 1.8602907306981964, 0.05167474251939434, 36.0, 31.8, -0.03333333333333331
8042, 3.0, 3.2346602966705715, 0.05776179101197449, 56.0, 48.45, -0.08124999999999995
8081, 6.0, 5.95613967883712, 0.06404451267566796, 93.0, 93.6, 0.07096774193548382
8091, 4.007683999999999, 4.33934717018855, 0.07405029300663055, 58.6, 52.9, -0.028879112627986408
8103, 3.0, 4.17854369531051, 0.10783338568543252, 38.75, 57.2, 0.5535483870967742
8114, 7.5, 7.890241734416479, 0.0593251258226803, 133.0, 150.0, 0.18421052631578946
8210, 3.0, 2.7468304593329504, 0.07324881224887868, 37.5, 59.5, 0.6666666666666666
2114, 5.0, 5.116139091380836, 0.06186383423676948, 82.7, 110.0, 0.39056831922611845
3130, 7.0, 6.888919314663477, 0.06150820816663819, 112.0, 170.0, 0.5803571428571429
3293, 2.8, 3.358223495910861, 0.05288540938442301, 63.5, 157.0, 1.516535433070866
3450, 4.5, 6.892721351262974, 0.0867008975001632, 79.5, 109.0, 0.4276729559748428
8255, 6.0, 5.841491905619248, 0.05057568749453894, 115.5, 113.5, 0.03463203463203463
8271, 2.2, 1.841354680072261, 0.060670664911771366, 30.35, 33.25, 0.16803953871499172
2107, 2.8, 2.831541965487789, 0.09697061525643114, 29.2, 33.25, 0.23458904109589043
3528, 2.20000004, 1.9964628500034196, 0.05880597496328187, 33.95, 36.3, 0.1340206197349041
1595, 4.5, 3.8221413067036476, 0.05308529592643955, 72.0, 87.0, 0.2708333333333333
3628, 4.0, 4.1091882499244266, 0.07797321157351852, 52.7, 62.5, 0.2618595825426944
4912, 4.5, 3.3448370815799633, 0.06037612060613652, 55.4, 70.1, 0.3465703971119133
